ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_LAU_1,10,11,15
1_GAR_2,19,1_LAU_2,10,12,16
1_CLO_1,11,1_LIV_1,1,6,17
1_BED_1,2,1_DRE_1,5,4,8
1_BED_1,2,1_BAT_1,4,4,0
1_BED_1,2,1_LIV_2,1,4,18
1_UTI_1,6,1_BAT_2,4,23,1
1_DRE_1,5,1_BED_1,2,8,4
1_DRE_2,5,1_BED_2,2,9,5
1_BAT_1,4,1_DRE_3,5,0,10
1_BAT_1,4,1_BED_1,2,0,4
1_BAT_2,4,1_UTI_1,6,1,23
1_BAT_2,4,1_BED_2,2,1,5
1_BAT_3,4,1_LIV_2,1,2,18
1_BAT_3,4,1_LAU_1,10,2,15
1_BAT_3,4,1_LIV_2,1,2,18
1_STA_1,7,1_LIV_2,1,21,18
1_POR_1,18,1_LIV_1,1,19,17
1_LIV_1,1,1_KIT_2,3,17,14
1_LIV_1,1,1_CLO_1,11,17,6
1_LIV_1,1,1_STA_2,7,17,22
1_LIV_1,1,1_BED_2,2,17,5
1_LIV_1,1,1_LAU_2,10,17,16
1_LIV_1,1,1_POR_1,18,17,19
1_KIT_1,3,1_LIV_2,1,13,18
1_KIT_1,3,1_LAU_1,10,13,15
1_KIT_2,3,1_LIV_1,1,14,17
1_KIT_2,3,1_LAU_2,10,14,16
1_STA_2,7,1_LIV_1,1,22,17
1_LIV_2,1,1_KIT_1,3,18,13
1_LIV_2,1,1_CLO_2,11,18,7
1_LIV_2,1,1_STA_1,7,18,21
1_LIV_2,1,1_BED_1,2,18,4
1_LIV_2,1,1_BAT_3,4,18,2
1_LIV_2,1,1_BAT_3,4,18,2
1_LIV_2,1,1_POR_2,18,18,20
1_POR_2,18,1_LIV_2,1,20,18
1_LAU_1,10,1_KIT_1,3,15,13
1_LAU_1,10,1_GAR_1,19,15,11
1_LAU_1,10,1_BAT_3,4,15,2
1_LAU_1,10,1_BAT_4,4,15,3
1_BAT_4,4,1_LAU_1,10,3,15
1_LAU_2,10,1_KIT_2,3,16,14
1_LAU_2,10,1_GAR_2,19,16,12
1_LAU_2,10,1_LIV_1,1,16,17
1_BED_2,2,1_DRE_2,5,5,9
1_BED_2,2,1_BAT_2,4,5,1
1_BED_2,2,1_LIV_1,1,5,17
1_CLO_2,11,1_LIV_2,1,7,18
1_DRE_3,5,1_BAT_1,4,10,0
